source;target;date;origin;destination
1;1036;1704-12-29;Paris, Ville de Paris (department), Île-de-France, France, Europe;Châteigneraye, France, Europe
2;389;1711-5-23;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
2;389;1711-5-8;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
2;389;1711-6-3;Paris, Ville de Paris (department), Île-de-France, France, Europe;Châlon-sur-Saône, Saône-et-Loire, Bourgogne, France, Europe
2;389;1711-7-23;Unknown;Unknown
2;389;1711-8-7;Unknown;Dijon, Côte-d'Or, Bourgogne, France, Europe
2;3;1713-11-25;Unknown;Unknown
2;3;1713-11-28;Unknown;Unknown
2;3;1713-11-30;Unknown;Unknown
2;3;1713-12-10;Unknown;Unknown
2;3;1713-12-13;Unknown;Unknown
2;3;1713-12-16;Unknown;Unknown
2;3;1713-12-19;Unknown;Unknown
2;3;1713-12-2;Unknown;Unknown
2;6;1713-12-25;Unknown;Unknown
2;3;1713-12-28;Unknown;Unknown
2;3;1713-12-4;Unknown;Unknown
2;3;1713-12-4;Unknown;Unknown
2;3;1713-12-6;The Hague, South Holland (province), Netherlands, Europe;Unknown
3;2;1713-12-6;Unknown;Unknown
2;3;1714-1-2;Unknown;Unknown
2;3;1714-1-20;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
2;3;1714-2-10;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
2;4;1714-6-15;Unknown;Unknown
4;2;1714-6-15;Unknown;Unknown
5;2;1714-9-25;Paris, Ville de Paris (department), Île-de-France, France, Europe;Aubervilliers, Seine-Saint-Denis, Île-de-France, France, Europe
4;1037;1715-4-8;Solothurn, canton of Solothurn, Switzerland, Europe;Paris, Ville de Paris (department), Île-de-France, France, Europe
2;1038;1715-6-25;Unknown;Unknown
6;1039;1716-10-20;Unknown;Unknown
2;22;1716-12-31;Unknown;Unknown
7;2;1716-5-15;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
7;2;1716-5-15;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
8;7;1716-5-4;Unknown;Unknown
2;9;1716-7-11;Sully-sur-Loire, Loiret (department), Centre, France, Europe;Unknown
9;2;1716-7-16;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
2;75;1716-7-20;Sully-sur-Loire, Loiret (department), Centre, France, Europe;Unknown
2;9;1716-7-20;Sully-sur-Loire, Loiret (department), Centre, France, Europe;Unknown
2;1040;1716-7-20;Sully-sur-Loire, Loiret (department), Centre, France, Europe;Unknown
10;1041;1716-8-1;Unknown;Unknown
9;10;1716-8-1;Unknown;Unknown
2;1042;1716-8-1;Unknown;Unknown
2;1038;1716-8-1;Unknown;Unknown
2;1043;1716-8-1;Unknown;Unknown
2;24;1716-9-1;Sully-sur-Loire, Loiret (department), Centre, France, Europe;Unknown
11;13;1717-12-31;Unknown;Unknown
12;13;1717-5-10;Unknown;Unknown
8;13;1717-5-15;Paris, Ville de Paris (department), Île-de-France, France, Europe;Unknown
13;7;1717-5-16;Unknown;Unknown
14;13;1717-5-16;Unknown;Unknown
15;1044;1717-5-17;Paris, Ville de Paris (department), Île-de-France, France, Europe;Paris, Ville de Paris (department), Île-de-France, France, Europe
2;1045;1717-5-17;Unknown;Unknown
16;13;1717-5-17;Unknown;Unknown
16;13;1717-5-19;Unknown;Unknown
2;1044;1717-5-21;Unknown;Unknown
16;13;1717-5-21;Unknown;Unknown
7;2;1718-10-12;Unknown;Unknown
2;1046;1718-10-31;Unknown;Paris, Ville de Paris (department), Île-de-France, France, Europe
2;1047;1718-10-31;Unknown;Unknown
2;8;1718-11-30;Unknown;Unknown
15;1044;1718-4-10;Paris, Ville de Paris (department), Île-de-France, France, Europe;Paris, Ville de Paris (department), Île-de-France, France, Europe
17;1044;1718-4-10;Unknown;Unknown
2;17;1718-4-15;Châtenay, near Sceaux, Hauts-de-Seine (department), Île-de-France, France, Europe;Unknown
2;7;1718-5-19;Unknown;Unknown
7;2;1718-5-19;Unknown;Unknown
